Unnamed: 0,Artist,Track,Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Total_Views_Stream
7994,Rammstein,Engel,0.637,0.658,0.0291,0.00918,0.00229,0.295,0.328,-0.8273441534563892,334079523.0
7995,Rammstein,Radio,0.652,0.894,0.0409,0.00404,0.00381,0.124,0.76,0.3864007001755579,140952267.0
7996,Rammstein,Ich will,0.648,0.896,0.041,0.00138,0.000819,0.0879,0.468,0.254251773595407,458120300.0
7997,Queen,Don't Stop Me Now - Remastered 2011,0.563,0.865,0.16,0.0472,0.000191,0.77,0.601,1.2046439004895912,2304012234.0
7998,Queen,Another One Bites The Dust - Remastered 2011,0.933,0.528,0.162,0.112,0.329,0.163,0.756,-0.3580551301501722,2011894315.0
7999,Queen,Bohemian Rhapsody - Remastered 2011,0.392,0.402,0.0536,0.288,0.0,0.243,0.228,0.7864929675458087,3614301544.0
8000,Queen,Under Pressure - Remastered 2011,0.671,0.711,0.0478,0.422,0.0,0.104,0.466,-0.2286403192923689,1462880872.0
8001,Queen,We Will Rock You - Remastered 2011,0.693,0.497,0.119,0.679,0.0,0.258,0.473,-1.3256958142557125,989526211.0
8002,Queen,Crazy Little Thing Called Love - Remastered 2011,0.599,0.762,0.0423,0.714,4.43e-06,0.35,0.715,-1.4724266913550528,743710177.0
8004,Queen,Killer Queen - Remastered 2011,0.535,0.65,0.0554,0.379,0.0,0.14,0.61,-0.1145838128008411,871819255.0
